Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)",Run Identifier,Run Directory,Estimated Fields,Estimate Method
mistral,boolq,25,sparse to sparse,success eval,0.943359375,1.253761649131775,256,57.47,57.21,56.04,58.46,106.87,115.3,124.41,123.36,cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,50,sparse to dense,success eval,0.9290364384651184,1.3364616632461548,256,51.44,52.27,53.26,53.21,122.54,124.88,127.34,129.7,cs3_mistral_boolq_lora_s50_sparse_to_dense_2191960_20260225_123242,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s50_sparse_to_dense_2191960_20260225_123242,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,50,sparse to sparse,success eval,0.9290364384651184,1.3364616632461548,256,59.67,60.09,59.43,60.57,112.49,121.37,130.96,129.85,cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,75,sparse to dense,success eval,0.796875,1.4427005052566528,256,53.5,54.96,56.48,55.85,130.12,132.6,135.21,137.72,cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,75,sparse to sparse,success eval,0.796875,1.4427005052566528,256,61.46,62.71,63.01,63.34,118.23,127.55,137.63,136.47,cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,25,sparse to dense,failed,0.3353375893718239,329.350129152728,256,48.78,49.33,49.91,50.46,49.52,50.46,51.46,52.41,cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260227_192308,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260227_192308,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,25,sparse to sparse,failed,0.3353375893718239,329.350129152728,256,56.82,55.3,54.94,56.98,46.12,49.76,53.69,53.24,cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260227_200858,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260227_200858,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,50,sparse to dense,failed,0.2395268521007515,16208.7776903783,256,51.1,53.26,53.65,54.18,51.13,52.11,53.13,54.12,cs3_mistral_gsm8k_lora_s50_sparse_to_dense_2191960_20260227_205207,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s50_sparse_to_dense_2191960_20260227_205207,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,50,sparse to sparse,failed,0.2395268521007515,16208.7776903783,256,59.48,58.95,59.03,60.43,45.37,48.95,52.82,52.37,cs3_mistral_gsm8k_lora_s50_sparse_to_sparse_2191960_20260227_213545,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s50_sparse_to_sparse_2191960_20260227_213545,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,75,sparse to dense,failed,0.0958107372710724,3718.08052348052,256,53.35,56.88,57.65,57.7,49.71,50.65,51.65,52.61,cs3_mistral_gsm8k_lora_s75_sparse_to_dense_2191960_20260227_221936,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s75_sparse_to_dense_2191960_20260227_221936,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,gsm8k,75,sparse to sparse,failed,0.0958107372710724,3718.08052348052,256,61.66,62.87,63.12,64.38,45.31,48.88,52.75,52.3,cs3_mistral_gsm8k_lora_s75_sparse_to_sparse_2191960_20260227_230345,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s75_sparse_to_sparse_2191960_20260227_230345,"Evaluation Accuracy;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Evaluation Language Model Perplexity;Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,25,sparse to dense,success eval,0.7819010615348816,1.550692081451416,256,49.19,49.74,50.33,50.89,117.43,119.67,122.03,124.29,cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,25,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,54.32,57.42,55.93,56.92,102.15,110.21,118.92,117.91,cs3_mistral_hellaswag_lora_s25_sparse_to_sparse_2191960_20260227_060200,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s25_sparse_to_sparse_2191960_20260227_060200,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,50,sparse to dense,success eval,0.78515625,1.574445366859436,256,53.2,52.66,53.01,54.21,122.61,124.94,127.41,129.77,cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,50,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,57.98,60.5,58.51,60.19,101.53,109.54,118.2,117.2,cs3_mistral_hellaswag_lora_s50_sparse_to_sparse_2191960_20260227_234743,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s50_sparse_to_sparse_2191960_20260227_234743,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,75,sparse to dense,success eval,0.62109375,2.049846887588501,256,57.68,55.38,55.53,57.46,129.5,131.96,134.56,137.06,cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,hellaswag,75,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,62.69,62.84,60.67,63.04,102.18,110.24,118.96,117.95,cs3_mistral_hellaswag_lora_s75_sparse_to_sparse_2191960_20260228_002952,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s75_sparse_to_sparse_2191960_20260228_002952,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mixtral,boolq,25,sparse to dense,success eval,0.4765625,2.8743200302124023,256,11.22,11.23,11.24,11.27,4.49,4.53,4.57,4.67,cs3_mixtral_boolq_lora_s25_sparse_to_dense_2191960_20260228_192033,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mixtral_boolq_lora_s25_sparse_to_dense_2191960_20260228_192033,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mixtral,boolq,25,sparse to sparse,failed,0.4693449085875011,2.40257228690649,256,16.81,16.18,16.76,17.87,39.0,42.08,45.4,45.02,cs3_mixtral_boolq_lora_s25_sparse_to_sparse_2191960_20260301_073559,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mixtral_boolq_lora_s25_sparse_to_sparse_2191960_20260301_073559,"Evaluation Accuracy;Evaluation Language Model Perplexity;Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",copied aligned metadata from sparse results table;linear scaling from batch-256 eval throughput;scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
